"id","calendar_date","week_day","holiday"
47377,2019-10-16,Wednesday,0
47378,2019-10-17,Thursday,0
47379,2019-10-18,Friday,0
47380,2019-10-19,Saturday,0
47381,2019-10-20,Sunday,0
47382,2019-10-21,Monday,0
47383,2019-10-22,Tuesday,0
47384,2019-10-23,Wednesday,0
47385,2019-10-24,Thursday,0
47386,2019-10-25,Friday,0
47387,2019-10-26,Saturday,0
47388,2019-10-27,Sunday,0
47389,2019-10-28,Monday,0
47390,2019-10-29,Tuesday,0
47391,2019-10-30,Wednesday,0
47392,2019-10-31,Thursday,0
47393,2019-11-01,Friday,0
47394,2019-11-02,Saturday,1
47395,2019-11-03,Sunday,0
47396,2019-11-04,Monday,0
47397,2019-11-05,Tuesday,0
47398,2019-11-06,Wednesday,0
47399,2019-11-07,Thursday,0
47400,2019-11-08,Friday,0
47401,2019-11-09,Saturday,0
47402,2019-11-10,Sunday,0
47403,2019-11-11,Monday,0
47404,2019-11-12,Tuesday,0
47405,2019-11-13,Wednesday,0
47406,2019-11-14,Thursday,0
47407,2019-11-15,Friday,1
47408,2019-11-16,Saturday,0
47409,2019-11-17,Sunday,0
47410,2019-11-18,Monday,0
47411,2019-11-19,Tuesday,0
47412,2019-11-20,Wednesday,0
47413,2019-11-21,Thursday,0
47414,2019-11-22,Friday,0
47415,2019-11-23,Saturday,0
47416,2019-11-24,Sunday,0
47417,2019-11-25,Monday,0
47418,2019-11-26,Tuesday,0
47419,2019-11-27,Wednesday,0
47420,2019-11-28,Thursday,0
47421,2019-11-29,Friday,0
47422,2019-11-30,Saturday,0
47423,2019-12-01,Sunday,0
47424,2019-12-02,Monday,0
47425,2019-12-03,Tuesday,0
47426,2019-12-04,Wednesday,0
47427,2019-12-05,Thursday,0
47428,2019-12-06,Friday,0
47429,2019-12-07,Saturday,0
47430,2019-12-08,Sunday,0
47431,2019-12-09,Monday,0
47432,2019-12-10,Tuesday,0
47433,2019-12-11,Wednesday,0
47434,2019-12-12,Thursday,0
47435,2019-12-13,Friday,0
47436,2019-12-14,Saturday,0
47437,2019-12-15,Sunday,0
47438,2019-12-16,Monday,0
47439,2019-12-17,Tuesday,0
47440,2019-12-18,Wednesday,0
47441,2019-12-19,Thursday,0
47442,2019-12-20,Friday,0
47443,2019-12-21,Saturday,0
47444,2019-12-22,Sunday,0
47445,2019-12-23,Monday,0
47446,2019-12-24,Tuesday,0
47447,2019-12-25,Wednesday,1
47448,2019-12-26,Thursday,0
47449,2019-12-27,Friday,0
47450,2019-12-28,Saturday,0
47451,2019-12-29,Sunday,0
47452,2019-12-30,Monday,0
47453,2019-12-31,Tuesday,0
47454,2020-01-01,Wednesday,1
47455,2020-01-02,Thursday,0
47456,2020-01-03,Friday,0
47457,2020-01-04,Saturday,0
47458,2020-01-05,Sunday,0
47459,2020-01-06,Monday,0
47460,2020-01-07,Tuesday,0
47461,2020-01-08,Wednesday,0
47462,2020-01-09,Thursday,0
47463,2020-01-10,Friday,0
47464,2020-01-11,Saturday,0
47465,2020-01-12,Sunday,0
47466,2020-01-13,Monday,0
47467,2020-01-14,Tuesday,0
47468,2020-01-15,Wednesday,0
47469,2020-01-16,Thursday,0
47470,2020-01-17,Friday,0
47471,2020-01-18,Saturday,0
47472,2020-01-19,Sunday,0
47473,2020-01-20,Monday,0
47474,2020-01-21,Tuesday,0
47475,2020-01-22,Wednesday,0
47476,2020-01-23,Thursday,0
47477,2020-01-24,Friday,0
47478,2020-01-25,Saturday,0
47479,2020-01-26,Sunday,0
47480,2020-01-27,Monday,0
47481,2020-01-28,Tuesday,0
47482,2020-01-29,Wednesday,0
47483,2020-01-30,Thursday,0
47484,2020-01-31,Friday,0
47485,2020-02-01,Saturday,0
47486,2020-02-02,Sunday,0
47487,2020-02-03,Monday,0
47488,2020-02-04,Tuesday,0
47489,2020-02-05,Wednesday,0
47490,2020-02-06,Thursday,0
47491,2020-02-07,Friday,0
47492,2020-02-08,Saturday,0
47493,2020-02-09,Sunday,0
47494,2020-02-10,Monday,0
47495,2020-02-11,Tuesday,0
47496,2020-02-12,Wednesday,0
47497,2020-02-13,Thursday,0
47498,2020-02-14,Friday,0
47499,2020-02-15,Saturday,0
47500,2020-02-16,Sunday,0
47501,2020-02-17,Monday,0
47502,2020-02-18,Tuesday,0
47503,2020-02-19,Wednesday,0
47504,2020-02-20,Thursday,0
47505,2020-02-21,Friday,0
47506,2020-02-22,Saturday,0
47507,2020-02-23,Sunday,0
47508,2020-02-24,Monday,0
47509,2020-02-25,Tuesday,1
47510,2020-02-26,Wednesday,0
47511,2020-02-27,Thursday,0
47512,2020-02-28,Friday,0
47513,2020-02-29,Saturday,0
47514,2020-03-01,Sunday,0
47515,2020-03-02,Monday,0
47516,2020-03-03,Tuesday,0
47517,2020-03-04,Wednesday,0
47518,2020-03-05,Thursday,0
47519,2020-03-06,Friday,0
47520,2020-03-07,Saturday,0
47521,2020-03-08,Sunday,0
47522,2020-03-09,Monday,0
47523,2020-03-10,Tuesday,0
47524,2020-03-11,Wednesday,0
47525,2020-03-12,Thursday,0
47526,2020-03-13,Friday,0
47527,2020-03-14,Saturday,0
47528,2020-03-15,Sunday,0
47529,2020-03-16,Monday,0
47530,2020-03-17,Tuesday,0
47531,2020-03-18,Wednesday,0
47532,2020-03-19,Thursday,0
47533,2020-03-20,Friday,0
47534,2020-03-21,Saturday,0
47535,2020-03-22,Sunday,0
47536,2020-03-23,Monday,0
47537,2020-03-24,Tuesday,0
47538,2020-03-25,Wednesday,0
47539,2020-03-26,Thursday,0
47540,2020-03-27,Friday,0
47541,2020-03-28,Saturday,0
47542,2020-03-29,Sunday,0
